,total assets
2020-12-01,100000.0
2020-12-02,101218.09
2020-12-03,102313.61
2020-12-04,104104.29000000001
2020-12-07,103834.33
2020-12-08,103236.20000000001
2020-12-09,103111.01000000001
2020-12-10,103838.73000000001
2020-12-11,103272.53
2020-12-14,103244.19
2020-12-15,103617.91
2020-12-16,104071.26999999999
2020-12-17,104139.55
2020-12-18,102840.31
2020-12-21,103020.45
2020-12-22,100954.0
2020-12-23,99746.98999999999
2020-12-24,99659.33
2020-12-25,100462.76000000001
2020-12-28,100967.22
2020-12-29,101612.4
2020-12-30,103518.95999999999
2021-01-04,103281.61
2021-01-05,101176.35
2021-01-06,99769.26999999999
2021-01-07,101285.04999999999
2021-01-08,101423.35
2021-01-12,101544.54999999999
2021-01-13,101455.97
2021-01-14,101730.75
2021-01-15,102619.61
2021-01-18,102090.13
2021-01-19,102344.15
2021-01-20,103115.93
2021-01-21,102341.12
2021-01-22,102629.39000000001
2021-01-25,102018.73000000001
2021-01-26,102642.07
2021-01-27,101884.42
2021-01-28,102885.04000000001
2021-01-29,103272.11
2021-02-01,103528.59
2021-02-02,102599.12
2021-02-03,104452.17
2021-02-04,108199.79
2021-02-05,108669.84
2021-02-08,112440.28
2021-02-09,114332.01000000001
2021-02-10,113995.56
2021-02-12,114391.03
2021-02-15,115640.95999999999
2021-02-16,115654.47
2021-02-17,115890.28
2021-02-18,116991.5
2021-02-19,116461.47
2021-02-22,113931.98000000001
2021-02-24,115940.23999999999
2021-02-25,117864.42
2021-02-26,117674.68
2021-03-01,115365.65
2021-03-02,115930.35
2021-03-03,115329.17
2021-03-04,116339.83
2021-03-05,115850.38
2021-03-08,115419.70999999999
2021-03-09,115408.27
2021-03-10,118512.63
2021-03-11,118155.31
2021-03-12,116288.23000000001
2021-03-15,116341.47
2021-03-16,117161.70999999999
2021-03-17,119228.01000000001
2021-03-18,118509.31999999999
2021-03-19,118177.73000000001
2021-03-22,119352.26000000001
2021-03-23,119843.34
2021-03-24,117504.58
2021-03-25,114315.46
2021-03-26,115316.1
2021-03-29,116831.74
2021-03-30,116938.66
2021-03-31,116724.57
2021-04-01,114238.45999999999
2021-04-02,113815.39
2021-04-05,113024.72
2021-04-06,114244.70999999999
2021-04-07,113171.03
2021-04-08,112433.29999999999
2021-04-09,110835.23999999999
2021-04-12,111008.68
2021-04-13,111781.72
2021-04-14,110880.81
2021-04-15,111322.29000000001
2021-04-16,111288.36
2021-04-19,112126.79
2021-04-20,110605.13
2021-04-21,109024.61000000002
2021-04-22,107393.73
2021-04-23,108025.93000000001
2021-04-26,109786.43000000001
2021-04-27,112305.01000000001
2021-04-28,111263.51
2021-04-30,109135.59000000001
2021-05-06,110725.6
2021-05-07,112212.74
2021-05-10,112569.32
2021-05-11,113322.2
2021-05-12,111728.06
2021-05-13,110328.4
2021-05-14,109037.91
2021-05-17,110923.1
2021-05-18,111410.91
2021-05-19,113568.33
2021-05-20,112816.73999999999
2021-05-21,111806.98
2021-05-24,111218.89000000001
2021-05-25,112107.41
2021-05-26,112431.11
2021-05-27,113635.20000000001
2021-05-28,113134.4
2021-05-31,114481.08000000002
2021-06-01,113029.05000000002
2021-06-02,113109.92000000001
2021-06-03,117797.92
2021-06-04,119579.89
2021-06-07,119783.54999999999
2021-06-08,119702.63999999998
2021-06-09,120653.72
2021-06-10,123889.79000000001
2021-06-11,124088.99
2021-06-14,122353.24
2021-06-15,122579.09999999999
2021-06-16,123210.49
2021-06-17,122344.54999999999
2021-06-18,122039.68
2021-06-21,119406.79999999999
2021-06-22,117309.29999999999
2021-06-23,120984.40999999999
2021-06-24,119808.84
2021-06-25,117438.65
2021-06-28,117707.57999999999
2021-06-29,117564.54999999999
2021-06-30,116523.31999999999
2021-07-01,115503.99
2021-07-02,115429.01999999999
2021-07-05,116217.92000000001
2021-07-06,116836.94
2021-07-07,117676.41
2021-07-08,116180.73000000001
2021-07-09,115443.48000000001
2021-07-12,115820.17000000001
2021-07-13,116193.51999999999
2021-07-14,116077.62
2021-07-15,114978.85999999999
2021-07-16,113327.53
2021-07-19,112582.37
2021-07-20,111151.72
2021-07-21,109155.59999999999
2021-07-26,110019.04999999999
2021-07-27,110966.03
2021-07-28,112742.84
2021-07-29,111716.66
2021-07-30,110812.57999999999
2021-08-02,109780.69
2021-08-03,109811.75
2021-08-04,109086.69999999998
2021-08-05,109059.15
2021-08-06,108773.5
2021-08-10,108882.32
2021-08-11,109762.54999999999
2021-08-12,112116.66999999998
2021-08-13,111333.31
2021-08-16,110833.7
2021-08-17,109871.73
2021-08-18,109628.91
2021-08-19,109188.91999999998
2021-08-20,107995.38
2021-08-23,108410.02
2021-08-24,109588.93
2021-08-25,110793.35999999999
2021-08-26,110315.23
2021-08-27,111171.72
2021-08-30,111509.19
2021-08-31,112501.69
2021-09-01,110937.16999999998
2021-09-02,111248.16999999998
2021-09-03,108914.74999999999
2021-09-06,110688.51999999999
2021-09-07,111459.09
2021-09-08,112985.10999999999
2021-09-09,112951.56
2021-09-10,112974.16
2021-09-13,113696.0
2021-09-14,113230.13
2021-09-15,113170.51
2021-09-16,112052.53
2021-09-17,111409.53
2021-09-21,111224.01000000001
2021-09-22,112007.79000000001
2021-09-24,111821.01999999999
2021-09-27,113946.01999999999
2021-09-28,117007.94
2021-09-29,116972.0
2021-09-30,117840.57
2021-10-01,119143.79
2021-10-04,116698.54999999999
2021-10-05,118475.44
2021-10-06,116897.29
2021-10-07,114932.03
2021-10-08,113671.48
2021-10-11,114266.87
2021-10-12,115637.07
2021-10-13,114474.36
2021-10-14,114985.37
2021-10-15,115064.51999999999
2021-10-18,115981.06
2021-10-19,115517.2
2021-10-20,114737.66999999998
2021-10-21,116676.72
2021-10-22,116057.19
2021-10-25,115619.20000000001
2021-10-26,114992.54999999999
2021-10-27,115272.27
2021-10-28,114280.32999999999
2021-10-29,114569.63
2021-11-01,114372.62
2021-11-02,116111.8
2021-11-04,115324.09
2021-11-05,116029.45999999999
2021-11-08,115132.79999999999
2021-11-09,116600.48
2021-11-10,114782.84999999999
2021-11-11,113364.56
2021-11-12,112569.87
2021-11-15,114563.97999999998
2021-11-16,113570.54999999999
2021-11-17,112448.28
2021-11-18,111733.5
2021-11-19,112022.17
2021-11-22,111775.73999999999
2021-11-24,111543.94
2021-11-25,111187.29999999999
2021-11-26,111880.16999999998
2021-11-29,109331.43
2021-11-30,106425.81
2021-12-01,105312.24
2021-12-02,106254.8
2021-12-03,104435.96
2021-12-06,106919.83
2021-12-07,106643.06
2021-12-08,108945.43
2021-12-09,107506.55
2021-12-10,107347.04000000001
2021-12-13,106920.0
2021-12-14,106396.18
2021-12-15,105645.2
2021-12-16,106559.06
2021-12-17,108039.74
2021-12-20,107177.13999999998
2021-12-21,105068.60999999999
2021-12-22,106067.31
2021-12-23,105731.15
2021-12-24,106342.52000000002
2021-12-27,105345.01999999999
2021-12-28,104939.75
2021-12-29,105401.75
2021-12-30,106093.16
2022-01-04,105334.59
2022-01-05,105479.17
2022-01-06,106505.36000000002
2022-01-07,104916.92000000001
2022-01-11,103950.96
2022-01-12,104481.70999999999
2022-01-13,106045.68
2022-01-14,104386.70000000001
2022-01-17,103668.15
2022-01-18,104678.04
2022-01-19,104782.25
2022-01-20,103905.79000000001
2022-01-21,104193.75
2022-01-24,105761.79999999999
2022-01-25,106090.14
2022-01-26,105471.53
2022-01-27,105269.2
2022-01-28,104121.08
2022-01-31,105915.09
2022-02-01,106521.13
2022-02-02,107057.70000000001
2022-02-03,107921.9
2022-02-04,106130.92000000001
2022-02-07,106358.07
2022-02-08,106818.82
2022-02-09,108690.78
2022-02-10,109147.98000000001
2022-02-14,110249.28
2022-02-15,113145.13
2022-02-16,112255.39
2022-02-17,114861.14000000001
2022-02-18,114487.40000000001
2022-02-21,115021.84
2022-02-22,113794.39000000001
2022-02-24,111503.51999999999
2022-02-25,108807.2
2022-02-28,110188.12
2022-03-01,110644.78
2022-03-02,110642.83
2022-03-03,108390.25
2022-03-04,109774.72
2022-03-07,108714.37
2022-03-08,106508.34
2022-03-09,105254.63
2022-03-10,103746.5
2022-03-11,106987.51999999999
2022-03-14,105749.76000000001
2022-03-15,108385.98000000001
2022-03-16,109799.54999999999
2022-03-17,111324.73999999999
2022-03-18,112365.59000000001
2022-03-22,113526.99
2022-03-23,114690.66
2022-03-24,116713.42000000001
2022-03-25,117280.82
2022-03-28,117173.99
2022-03-29,118233.28
2022-03-30,116864.04000000001
2022-03-31,116578.29000000001
2022-04-01,114870.34
2022-04-04,114790.24
2022-04-05,114909.98000000001
2022-04-06,115622.49
2022-04-07,115845.05
2022-04-08,113277.44
2022-04-11,114054.54000000001
2022-04-12,114194.51000000001
2022-04-13,113983.93
2022-04-14,115231.8
2022-04-15,116498.28
2022-04-18,116362.73999999999
2022-04-19,115846.54000000001
2022-04-20,115816.93
2022-04-21,116191.19
2022-04-22,117536.72
2022-04-25,116219.31
2022-04-26,115133.34
2022-04-27,116983.15
2022-04-28,117370.9
2022-05-02,118300.95999999999
2022-05-06,118650.14
2022-05-09,120397.04000000001
2022-05-10,117612.39
2022-05-11,115660.68000000001
2022-05-12,114418.12
2022-05-13,115096.11
2022-05-16,116570.67
2022-05-17,116673.12
2022-05-18,116414.4
2022-05-19,117196.62
2022-05-20,116133.94
2022-05-23,117480.27000000002
2022-05-24,117519.3
2022-05-25,117692.93
2022-05-26,120697.07999999999
2022-05-27,121325.76000000001
2022-05-30,120504.59
2022-05-31,120658.2
2022-06-01,117588.2
2022-06-02,119290.3
2022-06-03,119297.39
2022-06-06,118385.53
2022-06-07,120154.02
2022-06-08,118900.72
2022-06-09,120469.99
2022-06-10,121451.01999999999
2022-06-13,121079.8
2022-06-14,120506.82
2022-06-15,117360.54000000001
2022-06-16,116532.03
2022-06-17,117799.81
2022-06-20,116428.89
2022-06-21,116024.31
2022-06-22,118167.34
2022-06-23,118010.29000000001
2022-06-24,119119.41
2022-06-27,118361.34
2022-06-28,117523.97
2022-06-29,119481.12
2022-06-30,120020.59
2022-07-01,118330.74
2022-07-04,117203.79000000001
2022-07-05,117817.19
2022-07-06,116481.31
2022-07-07,114447.34
2022-07-08,115539.44
2022-07-11,114894.48000000001
2022-07-12,117093.22
2022-07-13,115709.35
2022-07-14,115547.16
2022-07-15,115463.18
2022-07-19,114354.4
2022-07-20,114468.45000000001
2022-07-21,115971.76000000001
2022-07-22,115587.68
2022-07-25,115841.87
2022-07-26,117080.23000000001
2022-07-27,117092.76000000001
2022-07-28,118400.22
2022-07-29,117981.41
2022-08-01,118288.67
2022-08-02,119749.59
2022-08-03,118935.43000000001
2022-08-04,117904.85999999999
2022-08-05,117832.86
2022-08-08,117940.85
2022-08-09,115649.27
2022-08-10,115948.65
2022-08-12,116477.38
2022-08-15,118119.11
2022-08-16,117866.08000000002
2022-08-17,118285.58000000002
2022-08-18,118940.36
2022-08-19,117590.15
2022-08-22,117733.95999999999
2022-08-23,117405.59
2022-08-24,117410.29
2022-08-25,117476.35
2022-08-26,117279.39
2022-08-29,117516.22
2022-08-30,115993.6
2022-08-31,118485.5
2022-09-01,118313.82
2022-09-02,117660.98999999999
2022-09-05,118078.54
2022-09-06,116964.83
2022-09-07,116765.70999999999
2022-09-08,117229.07
2022-09-09,118672.24
2022-09-12,118825.07
2022-09-13,121253.09
2022-09-14,122853.16
2022-09-15,121187.28
2022-09-16,122576.51999999999
2022-09-20,122913.45000000001
2022-09-21,122825.04000000001
2022-09-22,121415.51000000001
2022-09-26,122154.67000000001
2022-09-27,120915.32
2022-09-28,121098.87
2022-09-29,119277.03
2022-09-30,121729.31
2022-10-03,121260.15
2022-10-04,119393.32
2022-10-05,122412.98999999999
2022-10-06,122114.46
2022-10-07,122188.55
2022-10-11,122505.06
2022-10-12,122429.6
2022-10-13,124327.69
2022-10-14,122274.56
2022-10-17,123967.91
2022-10-18,124253.6
2022-10-19,125196.09
2022-10-20,125291.87999999999
2022-10-21,124811.87
2022-10-24,122689.78
2022-10-25,119839.95
2022-10-26,120138.92000000001
2022-10-27,120242.42000000001
2022-10-28,119885.47
2022-10-31,119839.95
2022-11-01,121660.45
2022-11-02,119983.17
2022-11-04,119258.83
2022-11-07,118913.36000000002
2022-11-08,120086.4
2022-11-09,120868.84000000001
2022-11-10,119299.39
2022-11-11,119484.42000000001
2022-11-14,121240.65
2022-11-15,119276.48999999999
2022-11-16,118734.17
2022-11-17,117057.01999999999
2022-11-18,119580.43000000001
2022-11-21,119098.07
2022-11-22,119686.4
2022-11-24,121039.82
2022-11-25,121446.94
2022-11-28,122116.41
2022-11-29,122185.98000000001
2022-11-30,122096.48000000001
2022-12-01,121550.39
2022-12-02,119004.45000000001
2022-12-05,116414.48000000001
2022-12-06,115791.06999999999
2022-12-07,116094.03
2022-12-08,117133.95000000001
2022-12-09,116882.85
2022-12-12,117784.42000000001
2022-12-13,117569.06
2022-12-14,117980.70000000001
2022-12-15,117902.84
2022-12-16,118306.01999999999
2022-12-19,117876.49
2022-12-20,116606.01999999999
2022-12-21,112561.89
2022-12-22,111579.94
2022-12-23,113377.15
2022-12-26,112157.34
2022-12-27,112917.37
2022-12-28,113433.61
2022-12-29,112860.91
2022-12-30,112773.31
2023-01-04,113173.88
2023-01-05,112031.75
2023-01-06,111466.44
2023-01-10,110140.61
2023-01-11,109988.8
2023-01-12,109585.84
2023-01-13,108154.97
2023-01-16,108674.0
2023-01-17,107565.44
2023-01-18,107965.56
2023-01-19,110128.51999999999
2023-01-20,109072.53
2023-01-23,110474.66
2023-01-24,110676.91
2023-01-25,111634.15
2023-01-26,111829.72
2023-01-27,111711.47
2023-01-30,110969.86
2023-01-31,110841.61
2023-02-01,110745.38
2023-02-02,109469.37
2023-02-03,108803.62
2023-02-06,108619.79000000001
2023-02-07,110073.56
2023-02-08,109394.35
2023-02-09,109831.14
2023-02-10,109746.82
2023-02-13,107214.65
2023-02-14,107413.36000000002
2023-02-15,107538.32999999999
2023-02-16,107016.07
2023-02-17,107644.35
2023-02-20,107153.84
2023-02-21,107908.78
2023-02-22,107552.81
2023-02-24,106671.04000000001
2023-02-27,108039.6
2023-02-28,108656.23999999999
2023-03-01,109685.57
2023-03-02,108251.63999999998
2023-03-03,108551.81
2023-03-06,108908.93
2023-03-07,108851.76000000001
2023-03-08,108677.05
2023-03-09,110740.02
2023-03-10,111263.92000000001
2023-03-13,109452.54000000001
2023-03-14,108947.29000000001
2023-03-15,108909.25
2023-03-16,108508.86
2023-03-17,107321.11
2023-03-20,108651.37
2023-03-22,106719.89000000001
2023-03-23,106453.81999999999
2023-03-24,106071.98999999999
2023-03-27,105810.62
2023-03-28,107843.91
2023-03-29,106783.48999999999
2023-03-30,108187.26
2023-03-31,108362.94
2023-04-03,108582.55
2023-04-04,110463.73000000001
2023-04-05,110850.23000000001
2023-04-06,109015.98000000001
2023-04-07,108888.86
2023-04-10,108737.22
2023-04-11,109444.31
2023-04-12,110520.32999999999
2023-04-13,110476.63
2023-04-14,110420.85
2023-04-17,110145.23000000001
2023-04-18,110830.09
2023-04-19,111763.61
2023-04-20,112174.72
2023-04-21,112103.75
2023-04-24,111888.55
2023-04-25,112813.70000000001
2023-04-26,113304.15
2023-04-27,113176.75
2023-04-28,112808.75
2023-05-01,115019.37
2023-05-02,115540.6
2023-05-08,114506.64
2023-05-09,114690.24
2023-05-10,114999.6
2023-05-11,114631.91
2023-05-12,114147.6
2023-05-15,113902.26000000001
2023-05-16,114925.3
2023-05-17,115273.70000000001
2023-05-18,116051.68
2023-05-19,115185.99
2023-05-22,114128.49
2023-05-23,116063.64000000001
2023-05-24,115026.0
2023-05-25,113231.85
2023-05-26,111911.83
2023-05-29,113571.8
2023-05-30,113779.5
2023-05-31,113096.81999999999
2023-06-01,113375.89000000001
2023-06-02,113937.22
2023-06-05,115519.41
2023-06-06,116497.98999999999
2023-06-07,117358.9
2023-06-08,116952.43000000001
2023-06-09,117306.24
2023-06-12,117476.15000000001
2023-06-13,118030.75
2023-06-14,118429.13
2023-06-15,120024.14000000001
2023-06-16,120498.09
2023-06-19,120643.08
2023-06-20,120000.09
2023-06-21,119506.87
2023-06-22,120961.84000000001
2023-06-23,121731.64000000001
2023-06-26,121373.63
2023-06-27,120665.86000000002
2023-06-28,120606.75
2023-06-29,121771.14000000001
2023-06-30,121103.96
2023-07-03,120300.98000000001
2023-07-04,121594.32
2023-07-05,120816.26
2023-07-06,120356.78
2023-07-07,119931.98000000001
2023-07-10,119229.25
2023-07-11,118756.45
2023-07-12,118511.52
2023-07-13,117559.08
2023-07-14,117523.75
2023-07-18,116430.32999999999
2023-07-19,116013.31
2023-07-20,117851.44
2023-07-21,118114.92000000001
2023-07-24,118525.38
2023-07-25,119461.35999999999
2023-07-26,120110.20999999999
2023-07-27,120547.0
2023-07-28,121203.09000000001
2023-07-31,120401.42
2023-08-01,121383.59
2023-08-02,122137.24
2023-08-03,120110.01999999999
2023-08-04,118159.0
2023-08-07,117543.98000000001
2023-08-08,118809.09
2023-08-09,120190.23000000001
2023-08-10,120424.61000000002
2023-08-14,122999.33000000002
2023-08-15,121063.0
2023-08-16,121711.94
2023-08-17,120870.89
2023-08-18,120750.87000000001
2023-08-21,120183.45000000001
2023-08-22,121394.73000000001
2023-08-23,121312.53
2023-08-24,122943.81
2023-08-25,122959.59
2023-08-28,123057.56999999999
2023-08-29,123893.3
2023-08-30,125553.79000000001
2023-08-31,125641.22
2023-09-01,127115.06
2023-09-04,127907.4
2023-09-05,129672.29000000001
2023-09-06,130659.69
2023-09-07,130690.97
2023-09-08,132653.66999999998
2023-09-11,132017.83000000002
2023-09-12,129347.43
2023-09-13,132036.73
2023-09-14,132297.33999999997
2023-09-15,134400.30000000002
2023-09-19,136435.43000000002
2023-09-20,136264.3
2023-09-21,134895.44
2023-09-22,133279.61000000002
2023-09-25,132856.31
2023-09-26,132239.51
2023-09-27,131101.12
2023-09-28,131722.33000000002
2023-09-29,129872.83000000002
2023-10-02,129047.33000000002
2023-10-03,127427.83000000002
2023-10-04,124423.33
2023-10-05,121136.83
2023-10-06,124764.33
2023-10-10,125661.33
2023-10-11,126766.83
2023-10-12,125911.83
2023-10-13,127632.83
2023-10-16,124975.33
2023-10-17,122417.33
2023-10-18,123548.33
2023-10-19,124611.33
2023-10-20,124491.83
2023-10-23,123931.83
2023-10-24,123285.33
2023-10-25,123776.33
2023-10-26,123558.33
2023-10-27,122136.83
2023-10-30,123536.83
2023-10-31,122165.83
2023-11-01,123713.33
2023-11-02,126229.83
2023-11-06,126396.33
2023-11-07,127167.83
2023-11-08,125442.83
2023-11-09,124035.33
2023-11-10,125948.83
2023-11-13,126449.83
2023-11-14,127174.33
2023-11-15,125355.33
2023-11-16,127064.83
2023-11-17,126757.33
2023-11-20,127009.83000000002
2023-11-21,126587.33
2023-11-22,127428.33000000002
2023-11-24,127920.83000000002
2023-11-27,127776.83
2023-11-28,127293.33
2023-11-29,127558.33
2023-11-30,127203.33
2023-12-01,128888.83
2023-12-04,128217.33
2023-12-05,127806.33
2023-12-06,127999.83
2023-12-07,129332.83000000002
2023-12-08,128980.33000000002
2023-12-11,127135.83000000002
2023-12-12,128336.33000000002
2023-12-13,128265.33000000002
2023-12-14,129833.33000000002
2023-12-15,130054.33000000002
2023-12-18,131054.33000000002
2023-12-19,129272.33000000002
2023-12-20,128735.83
2023-12-21,128399.33
2023-12-22,127612.83000000002
2023-12-25,127655.33000000002
2023-12-26,127597.83000000002
2023-12-27,126980.83
2023-12-28,128158.83000000002
2023-12-29,127653.83000000002
2024-01-04,127808.33000000002
2024-01-05,128450.33000000002
2024-01-09,131081.83000000002
2024-01-10,131169.83000000002
2024-01-11,133273.33000000002
2024-01-12,134899.83000000002
2024-01-15,136029.83000000002
2024-01-16,138128.83000000002
2024-01-17,137239.83000000002
2024-01-18,134675.83000000002
2024-01-19,133417.83000000002
2024-01-22,133534.83000000002
2024-01-23,136295.83000000002
2024-01-24,135151.33000000002
2024-01-25,131895.33000000002
2024-01-26,131494.33000000002
2024-01-29,130940.83000000002
2024-01-30,131952.83000000002
2024-01-31,132032.83000000002
2024-02-01,133365.83000000002
2024-02-02,131278.33000000002
2024-02-05,133038.83000000002
2024-02-06,135585.83000000002
2024-02-07,134592.83000000002
2024-02-08,135809.33000000002
2024-02-09,135881.33000000002
2024-02-13,135736.33000000002
2024-02-14,135160.83000000002
2024-02-15,132755.83000000002
2024-02-16,131610.83000000002
2024-02-19,135505.83000000002
2024-02-20,136527.83000000002
2024-02-21,136588.33000000002
2024-02-22,136542.33000000002
2024-02-26,138816.33000000002
2024-02-27,139376.33000000002
2024-02-28,140035.83000000002
2024-02-29,142566.33000000002
2024-03-01,142035.83000000002
2024-03-04,144993.33000000002
2024-03-05,145270.83000000002
2024-03-06,146428.83000000002
